refid,status,crs,shape,bounds,transform,mask_shape,tessera_shape,tessera_bands
a-18-03071366712101_65-66474845645646,OK,True,True,True,True,"(67, 162)","(67, 162)",128
a-2-52025858362194_53-72050616794933,OK,True,True,True,True,"(67, 112)","(67, 112)",128
a-1-58467935875357_47-05443474717619,OK,True,True,True,True,"(67, 97)","(67, 97)",128
a-2-17104025185075_39-66195264271502,OK,True,True,True,True,"(66, 86)","(66, 86)",128
a-2-22932139889146_56-95862408026678,OK,True,True,True,True,"(67, 122)","(67, 122)",128
a0-6941135513559_49-61269109310156,OK,True,True,True,True,"(66, 102)","(66, 102)",128
a-6-53797725923809_53-84911799426187,OK,True,True,True,True,"(67, 113)","(67, 113)",128
a-2-59185730215767_53-11198720241597,OK,True,True,True,True,"(67, 110)","(67, 110)",128
a0-07602270798631_51-64536656448906,OK,True,True,True,True,"(67, 107)","(67, 107)",128
a0-17451673427384_52-65135035939731,OK,True,True,True,True,"(66, 109)","(66, 109)",128
a-4-04049538502545_47-97554982426387,OK,True,True,True,True,"(67, 99)","(67, 99)",128
a0-25914391012373_52-41062988926688,OK,True,True,True,True,"(67, 108)","(67, 108)",128
a-8-19813509533539_41-63652669165629,OK,True,True,True,True,"(67, 89)","(67, 89)",128
a-3-99571454125387_43-28658119907893,OK,True,True,True,True,"(66, 91)","(66, 91)",128
a-3-82567804883019_40-09254102374404,OK,True,True,True,True,"(66, 86)","(66, 86)",128
a-1-18139547412802_52-25772329329998,OK,True,True,True,True,"(67, 108)","(67, 108)",128
a-0-47134313698222_52-09242527089813,OK,True,True,True,True,"(67, 108)","(67, 108)",128
a-1-34144867248374_47-02619422462487,OK,True,True,True,True,"(67, 98)","(67, 98)",128
a-0-54402407469629_44-04188024421709,OK,True,True,True,True,"(66, 92)","(66, 92)",128
a-0-77133618972711_46-45684360844514,OK,True,True,True,True,"(66, 95)","(66, 95)",128
a2-58896497299867_42-66375639844479,OK,True,True,True,True,"(67, 90)","(67, 90)",128
a16-15317118163363_45-7859705066069,OK,True,True,True,True,"(67, 95)","(67, 95)",128
a2-98945183051191_39-36914899119555,OK,True,True,True,True,"(67, 86)","(67, 86)",128
a21-42494870049343_48-68561021487365,OK,True,True,True,True,"(67, 101)","(67, 101)",128
a21-71302299063703_36-93268807246787,OK,True,True,True,True,"(67, 83)","(67, 83)",128
a3-13492672240259_50-80031986527516,OK,True,True,True,True,"(67, 105)","(67, 105)",128
a3-28755789400137_50-64539824344691,OK,True,True,True,True,"(66, 104)","(66, 104)",128
a3-27080889899288_50-87987570748427,OK,True,True,True,True,"(67, 105)","(67, 105)",128
a28-59634792217955_44-21454720185186,OK,True,True,True,True,"(67, 93)","(67, 93)",128
a3-66896455014147_50-49894876337167,OK,True,True,True,True,"(67, 104)","(67, 104)",128
a25-31754898314332_46-31474942069217,OK,True,True,True,True,"(67, 97)","(67, 97)",128
a27-95773801630337_44-04857019043383,OK,True,True,True,True,"(67, 93)","(67, 93)",128
a26-040070508867_45-95719246129747,OK,True,True,True,True,"(67, 96)","(67, 96)",128
a10-12336454246305_55-98639522617224,OK,True,True,True,True,"(67, 119)","(67, 119)",128
a12-37059317636502_55-31209813351252,OK,True,True,True,True,"(67, 117)","(67, 117)",128
a3-43422023388386_50-56800222591682,OK,True,True,True,True,"(67, 105)","(67, 105)",128
a22-03234382362865_37-98131146771407,OK,True,True,True,True,"(67, 84)","(67, 84)",128
a10-27896225126639_48-57032226949789,OK,True,True,True,True,"(67, 100)","(67, 100)",128
a14-44884901051691_46-68484489478062,OK,True,True,True,True,"(67, 97)","(67, 97)",128
a15-3125793476379_45-87926193118759,OK,True,True,True,True,"(67, 96)","(67, 96)",128
a6-60060174716002_46-5717071263202,ERROR: 'data/processed/tessera/snapped_to_mask_grid/a6-60060174716002_46-5717071263202_tessera_2024_snapped.tif' not recognized as being in a supported file format.,,,,,,,
a4-00159245754781_51-08188112021718,OK,True,True,True,True,"(67, 105)","(67, 105)",128
a4-04541498665052_48-27085473352302,OK,True,True,True,True,"(67, 99)","(67, 99)",128
a4-62484266638608_51-98215379896622,OK,True,True,True,True,"(67, 107)","(67, 107)",128
a39-26949131085085_41-01550472139592,OK,True,True,True,True,"(67, 88)","(67, 88)",128
a4-14192226976871_51-42686339376777,OK,True,True,True,True,"(67, 107)","(67, 107)",128
a4-63523450914143_51-75228829204871,OK,True,True,True,True,"(67, 107)","(67, 107)",128
a6-66442386131923_52-50727186128272,OK,True,True,True,True,"(67, 109)","(67, 109)",128
a5-05204659373531_51-44811397038556,OK,True,True,True,True,"(67, 106)","(67, 106)",128
a9-42409872737389_45-27118044929093,OK,True,True,True,True,"(67, 95)","(67, 95)",128
a3-90419320521538_51-81608889925567,OK,True,True,True,True,"(66, 107)","(66, 107)",128
a3-7267438263542_51-68070038951491,OK,True,True,True,True,"(67, 107)","(67, 107)",128
a30-78961456092786_51-61005757183885,OK,True,True,True,True,"(67, 107)","(67, 107)",128
a33-32266776718259_47-77995870945647,OK,True,True,True,True,"(67, 99)","(67, 99)",128
a32-69085783675902_40-17923143394696,OK,True,True,True,True,"(66, 88)","(66, 88)",128
